,Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20
21,Shaanxi,Mainland China,35.1917,108.8701,0,3.0,2.0,10.0,7.0,13.0,11.0,10.0,7.0,24.0,14.0,15.0,12.0,14.0,23.0,8.0,11.0,11.0,13.0,5.0,6.0,6.0,4.0,1.0,2.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Shandong,Mainland China,36.3427,118.1498,2,4.0,9.0,12.0,19.0,29.0,20.0,35.0,28.0,26.0,22.0,24.0,29.0,16.0,32.0,40.0,39.0,30.0,28.0,22.0,21.0,10.0,12.0,14.0,9.0,5.0,4.0,2.0,1.0,2.0,203.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Shanghai,Mainland China,31.201999999999998,121.4491,9,7.0,4.0,13.0,7.0,13.0,13.0,30.0,16.0,23.0,34.0,13.0,21.0,16.0,24.0,14.0,20.0,9.0,7.0,6.0,4.0,8.0,4.0,3.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
24,Shanxi,Mainland China,37.5777,112.2922,1,0.0,0.0,5.0,3.0,4.0,14.0,0.0,8.0,4.0,8.0,19.0,8.0,7.0,0.0,15.0,8.0,11.0,4.0,0.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Sichuan,Mainland China,30.6171,102.7103,5,3.0,7.0,13.0,16.0,25.0,21.0,18.0,34.0,35.0,30.0,24.0,23.0,28.0,19.0,20.0,23.0,20.0,22.0,19.0,12.0,19.0,15.0,12.0,7.0,11.0,14.0,13.0,6.0,6.0,5.0,1.0,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,Tianjin,Mainland China,39.3054,117.323,4,0.0,4.0,2.0,4.0,9.0,1.0,3.0,4.0,1.0,9.0,7.0,12.0,7.0,2.0,10.0,2.0,7.0,3.0,4.0,11.0,6.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tibet,Mainland China,31.6927,88.0924,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Xinjiang,Mainland China,41.1129,85.2401,0,2.0,0.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Yunnan,Mainland China,24.974,101.48700000000001,1,1.0,3.0,6.0,5.0,10.0,18.0,11.0,15.0,13.0,10.0,12.0,12.0,5.0,6.0,5.0,5.0,0.0,3.0,8.0,4.0,1.0,2.0,6.0,6.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Zhejiang,Mainland China,29.1832,120.0934,10,17.0,16.0,19.0,42.0,24.0,45.0,123.0,132.0,110.0,61.0,62.0,63.0,105.0,66.0,59.0,52.0,42.0,27.0,17.0,25.0,14.0,14.0,10.0,7.0,5.0,4.0,1.0,2.0,1.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
